Ritual/Issue,Hanafi,Shafi'i,Maliki,Hanbali,Ibn Taymiyah View
Wudu for Tawaf,Wajib (not pillar); Dam/Badanah if omitted,Condition (pillar) for validity,Condition for validity,Condition for validity,Not required; preferred but not condition
Tawaf without Wudu (menstruating woman),Valid but Dam required; some permit with excuse,Invalid Tawaf; must repeat when pure,Invalid Tawaf; must repeat when pure,Invalid Tawaf; must repeat when pure,Valid with excuse; no penalty if necessary
Raml (brisk walk) in Tawaf,Sunnah for men (first 3 circuits),Sunnah for men (first 3 circuits),Sunnah for men (first 3 circuits),Sunnah for men (first 3 circuits),Sunnah
Idtiba (right shoulder exposed),Sunnah for men during Tawaf,Sunnah for men during Tawaf,Sunnah for men during Tawaf,Sunnah for men during Tawaf,Sunnah
Sa'i - purity requirement,Not required (can do in any state),Not required,Not required,Not required,Not required
Sa'i - women running between green lights,Not required (women walk normally),Not required (women walk normally),Not required (women walk normally),Not required (women walk normally),Not applicable
Entering Ihram from Miqat,Wajib; Dam if omitted without return,Wajib; Dam if omitted without return,Wajib; Dam if omitted without return,Wajib; Dam if omitted without return,Same as majority
Tawaf 2 Rakah prayer,Wajib; can be prayed anywhere in Haram,Mustahabb (recommended); near Maqam Ibrahim,Wajib; can be prayed anywhere in Haram,Mustahabb (recommended),Mustahabb
Tawaf - wudu breaks during,Resume from where stopped after wudu,Restart Tawaf from beginning after wudu,Restart Tawaf from beginning after wudu,Restart Tawaf from beginning after wudu,Can continue if excuse exists
Halq/Taqsir (hair cutting),Wajib; Dam if omitted,Pillar; Umrah invalid if omitted,Wajib; Dam if omitted,Wajib; Dam if omitted,Same as majority
